콘텐츠명,월간검색량(네이버),월간검색량(유튜브),키워드,검색의도,블로그문서량,추천(네이버),유튜브영상수,평균조회수(유튜브),추천(유튜브)
프로젝트 헤일메리,1544500,987304,프로젝트 헤일 메리 디시,탐색형,12,★★★,11,2382912,★★★
프로젝트 헤일메리,1544500,987304,프로젝트 헤일메리 해석,정보형,841,★★★,398,143044,★★★
프로젝트 헤일메리,1544500,987304,헤일 메리 쿠키,탐색형,1411,★★★,181,359557,★★★
프로젝트 헤일메리,1544500,987304,프로젝트 헤일 메리 노래,탐색형,2696,★★★,509,750493,★★★
프로젝트 헤일메리,1544500,987304,프로젝트 헤일메리 필 로드,탐색형,3344,★★★,15367,1529517,★★
프로젝트 헤일메리,1544500,987304,프로젝트 헤일메리 원작,정보형,3828,★★★,80531,93814,★
프로젝트 헤일메리,1544500,987304,프로젝트 헤일 메리 로키,탐색형,5578,★★★,313,64197,★★★
프로젝트 헤일메리,1544500,987304,헤일 메리 영화,탐색형,12867,★★★,50169,1700569,★★
프로젝트 헤일메리,1544500,987304,헤일 메리 프로젝트,탐색형,19391,★★,78300,968521,★★
프로젝트 헤일메리,1544500,987304,프로젝트 헤일메리,탐색형,19518,★★,76264,722742,★
프로젝트 헤일메리,1544500,987304,헤일 메리,탐색형,21636,★★,1000000,635274,★
프로젝트 헤일메리,1544500,987304,로키,탐색형,247611,★,572129,4337284,★
프로젝트 헤일메리,1544500,987304,아이 맥스,탐색형,347375,★,1000000,67116,★
프로젝트 헤일메리,1544500,987304,cgv,탐색형,2343030,★,924101,366644,★
프로젝트 헤일메리,1544500,987304,영화,탐색형,32586641,★,1000000,96237,★
마션,50990,753000,마션 도입부,탐색형,437,★★★,67,715046,★★★
마션,50990,753000,마션 명대사,탐색형,705,★★,506,785177,★★★
마션,50990,753000,마션 자막,탐색형,992,★★,22438,1740687,★★
마션,50990,753000,마션 출연진,탐색형,1165,★★,271,444188,★★★
마션,50990,753000,마션 첫 문장,탐색형,1456,★★,107,334943,★★★
마션,50990,753000,마션 실화,정보형,1955,★★,1401,1771308,★★★
마션,50990,753000,마션 결말,탐색형,3883,★★,11615,1282810,★★★
마션,50990,753000,마션 줄거리,탐색형,5289,★,3104,1279803,★★★
마션,50990,753000,마션 원작,정보형,6873,★,4424,157735,★★
마션,50990,753000,마션 감자,탐색형,6972,★,2371,1397030,★★★
마션,50990,753000,마션 작가,탐색형,10394,★,31361,440519,★★
마션,50990,753000,마션 소설,탐색형,12281,★,14962,14182,★
마션,50990,753000,앤디 위어,탐색형,14675,★,29542,94855,★
마션,50990,753000,영화 마션,탐색형,44505,★,39377,378001,★
마션,50990,753000,마션,탐색형,61866,★,42752,1310328,★★
